st_address,city,price,zestimate,description,housetype,yearbuilt,heating,cooling,parking,hoa,daysonzillow,pricepersqft,numberofsaves,is_forsale,masterbedlevel,thirdbedlevel,fourthbedlevel,buildingexterior

265 Northbury Ct UNIT A2,"Schaumburg, IL 60193","$188,900",:,"Sunny, bright & spacious 2nd floor manor home. Decorator trim, crown molding & six panel doors throughout.  Updated kitchen with ceramic tile floor has spacious eating area & extra cabinets. Newer appliances: stove 2014, refrigerator & dryer 2013. AC unit 2016, window in MBR 2017. Some areas freshly painted. Spacious living room with fireplace, sliders to private balcony with great views. Large master bedroom has walk-in closet & private bathroom. Brand new carpeting!  Cul-de-sac location near clubhouse & pool. Desirable school district 54/211. Minutes to expressway, shopping & all conveniences. Vacant, easy to show!  Motivated seller...present all offers!",Condo,1977,Forced air,Central,Attached Garage,$129/month,236 Days,$157,40,For Sale,2nd Level,2nd Level,Not Applicable,Asphalt

405 Springsouth Rd,"Schaumburg, IL 60193","$400,000",,"Move right in! One of a kind home in desirable Pleasant Hills subdivision! 2 car garage, over 1/2 acre lot, circular driveway & new porch offers tons of curb appeal! Cozy living room w/fireplace, marble tile work & built in shelving! Separate dining room w/sliding patio doors~ great for entertaining! Kitchen shows off an abundance of cabinetry w/lighting, solid surface counters, new tile backsplash, new stainless steel appliances & breakfast bar! Family room boasts incredible wall to wall window & ceiling w/ woodwork! Perfect in-law arrangement w/full bath & modern kitchen featuring new gleaming counters, white cabinetry, new doors & backsplash. Remodeled hall bath w/new vanity, custom shower w/rain shower head, claw-foot tub & tile work! 4 bedrooms offers tons of space! Lower level is ultimate entertainment area with extra living space & custom oak bar! Backyard shows off patio with 2 sheds, large oval pool, & deck! Great location in the heart of Schaumburg!",Single Family,1958,Forced air,Central,Attached Garage,0.52 acres,6 Days,$216,15,For Sale,Main Level,Main Level,Main Level,Asphalt

1827 W Weathersfield Way,"Schaumburg, IL 60193","$242,900",:,"PRICE REDUCED!!!!  Move in ready 3 bedroom 1.5 bath ranch at an impeccable price and will not last!!!  Recently updated bathrooms, hardwood and laminate floors throughout.  Warm up on cold winter nights to beautifully set fire place.  Situated in award winning park districts and great schools.  Come enjoy your large backyard sanctuary.  Plenty of space and great location near restaurants, shopping, etc.  This home is ready for its new owner.  Schedule a showing today!!",Single Family,1969,No Data,Central,Attached Garage,"9,526 sqft",45 Days,$201,66,For Sale,Main Level,Not Applicable,Main Level,"Frame, Masonite"

204 E Beech Dr,"Schaumburg, IL 60193","$399,000",:,"4 bedroom two story located in desired Schaumburg school boundaries including Conant High School! This home sits on a cul-de-sac off of the main through street. Large eat-in kitchen with pantry is open to the family room. The family room features a beautiful refaced fireplace, new flooring, ceiling fan, and sliding glass doors to the deck and large yard.  New front doors!  Other features include recessed lighting, crown molding, first floor redone laundry room, and a large foyer at the front door.  The large master bedroom suite includes an elegant remodeled walk in shower. All 4 bedrooms are generously sized. The unfinished basement is ready for your design, or keep it that way for storage! Extremely convenient location near shopping and expressways.",Single Family,1981,Forced air,Central,2 spaces,0.35 acres,150 Days,$148,31,For Sale,2nd Level,2nd Level,2nd Level,Asphalt

21 Superior Ct UNIT N2,"Schaumburg, IL 60193","$149,900",:,"This very well maintained 2 bedroom condo features a beautiful spacious floor plan~ kitchen offers maple cabinets, newer back splash, new dishwasher , and spacious pantry~ dining room has double sliding custom doors that leads to a oversized balcony with beautiful views of nature~natural lighting throughout~ great size living room, master bedroom offers walk in closet. New barn door added on to full size bathroom. Association that features both pool & clubhouse.  Location is close to library, shopping & restaurants.  Easy to show!",Condo,No Data,Forced air,Central,Attached Garage,$205/month,45 Days,No Data,38,For Sale,Main Level,Not Applicable,Not Applicable,Other

1628 Orchard Ave,"Schaumburg, IL 60193","$197,000",:,"PRIVATE SETTING WITH BEAUTIFUL NATURE VIEWS LOCATED ON A PREMIER CUL-DE-SAC LOT IN SOUGHT AFTER BRIAR POINTE SUBDIVISION. BRAND NEW LAMINATE FLOORING THROUGHOUT FIRST FLOOR. ENJOY AN EAT-IN KITCHEN WITH A SEPARATE BREAKFAST BAR. SPACIOUS LIVING ROOM LEADING TO PATIO FACING WEST TO ENJOY THE SUN AND GREAT SUNSETS! SECOND FLOOR OFFERS 2 MASTER SUITES, EACH WITH LARGE CLOSETS AS WELL AS ALL NEW CARPET. NEW RECENT IMPROVEMENTS INCLUDE WINDOWS UPSTAIRS, FURNACE AND AIR CONDITIONER, HOT WATER HEATER AND WASHING MACHINE. PET FRIENDLY COMMUNITY. GREAT LOCATION FOR SCHAUMBURG METRA, BOOMERS STADIUM AND NEW I-390. CONVENIENTLY LOCATED NEAR SHOPPING, RESTAURANTS & PARKS.",Townhouse,1996,Forced air,Central,Attached Garage,35.59 acres,29 Days,$156,58,For Sale,2nd Level,2nd Level,Not Applicable,

319 Hillside Ct,"Schaumburg, IL 60193","$449,900",:,"Your dream home awaits! This charming five-bedroom home with three full baths and two half baths has so much to offer including a new roof! Head to the end of a peaceful cul-de-sac, up the extra-long driveway and right inside where you can't help but fall in love. First floor boasts an open concept featuring a living room, dining room, stunning kitchen with eating area, half bath, laundry room and family room where you can cozy up by the beautiful fireplace. Make your way upstairs to enjoy tranquility in your large master suite with private full bath and large walk in closet. Four additional good sized bedrooms and two full baths complete the sleeping quarters. This house isn't done yet! Head downstairs to a huge finished basement with half bath, dry bar and workroom. Fantastic location near Summit Park, Meineke Recreation Center and minutes to Woodfield mall, restaurants and transportation. Come see today! You won't be disappointed.",Single Family,1977,Forced air,Central,Attached Garage,"10,484 sqft",162 Days,$162,27,For Sale,Lower,2nd Level,2nd Level,Asphalt

104 Lunt Ave,"Schaumburg, IL 60193","$317,000",,"Beautiful home featuring a light and bright kitchen with new stainless appliances, 42 cabinetry and granite counter tops. Updated bathrooms with plenty of storage. Large bedrooms with hardwood flooring and ample closet space. The exterior was recently painted and driveway sealed. Large encapsulated crawl with antimicrobial protection. New water softner and whole house water filtration system! Highly desired Schaumburg D54 schools and Conant High School! Located on a large 1/2 acre lot with fenced yard and large over-sized shed (shed is sold as is). Must see!",Single Family,1978,Forced air,Central,2 spaces,0.46 acres,6 Days,$186,34,For Sale,,Single Family,J B Conant High School,0.46 acres

1805 Carson Ct,"Schaumburg, IL 60193","$269,900",:,"Situated on a private cul de sac lot, this large split level in sought after Weathersfield subdivision is a home you do not want to miss! This property has size and an amazing floor plan, 4 large spacious bedrooms, finished lower level family room with fireplace which opens to a private yard, gourmet kitchen, the list goes on! The floor plan is truly unique and not many homes in the subdivision offer similar size, space for this value! The location should not be overlooked either, close to shopping, restaurants and parks! Do not let this one pass you up!",Single Family,1969,Forced air,Central,Attached Garage,No Data,38 Days,$120,54,For Sale,2nd Level,2nd Level,2nd Level,Asphalt

